@relation CornellMovies_v2

@attribute positive_adjectives_count numeric
@attribute negative_adjectives_count numeric
@attribute positive_to_negative_ratio_of_adjectives_count numeric
@attribute positive_to_negative_ratio_of_adverbs_count numeric
@attribute positive_adverbs_count_and_bigrams_with_adverbs numeric
@attribute negative_adverbs_count_and_bigrams_with_adverbs numeric
@attribute positive_adjectives_count_and_bigrams_with_adjectives numeric
@attribute negative_adjectives_count_and_bigrams_with_adjectives numeric
@attribute positive_to_negative_ratio_of_adjectives_count_and_bigrams_with_adjectives numeric
@attribute positive_to_negative_ratio_of_adverbs_count_and_bigrams_with_adverbs numeric
@attribute selected_ngrams_count numeric
@attribute original_document_size numeric
@attribute positive_unigrams_and_bigrams_count numeric
@attribute negative_unigrams_and_bigrams_count numeric
@attribute percentage_of_negated_ngrams_by_document_size numeric
@attribute positive_to_negative_ratio_of_unigrams_and_bigrams_count numeric
@attribute positive_unigrams_bigrams_and_trigrams_count numeric
@attribute negative_unigrams_bigrams_and_trigrams_count numeric
@attribute positive_to_negative_ratio_of_unigrams_bigrams_and_trigrams_count numeric
@attribute positive_adjectives_sum numeric
@attribute negative_adjectives_sum numeric
@attribute positive_to_negative_ratio_of_adjectives_sum numeric
@attribute positive_to_negative_ratio_of_adverbs_sum numeric
@attribute sum_ratio_of_positive_adjectives numeric
@attribute sum_ratio_of_positive_adverbs numeric
@attribute sum_ratio_of_negative_adjectives numeric
@attribute sum_ratio_of_negative_adverbs numeric
@attribute positive_adverbs_sum_and_bigrams_with_adverbs numeric
@attribute negative_adverbs_sum_and_bigrams_with_adverbs numeric
@attribute positive_adjectives_sum_and_bigrams_with_adjectives numeric
@attribute negative_adjectives_sum_and_bigrams_with_adjectives numeric
@attribute positive_to_negative_ratio_of_adjectives_sum_and_bigrams_with_adjectives numeric
@attribute positive_to_negative_ratio_of_adverbs_sum_and_bigrams_with_adverbs numeric
@attribute sum_ratio_of_positive_adjectives_and_bigrams_with_adjectives numeric
@attribute sum_ratio_of_negative_adjectives_and_bigrams_with_adjectives numeric
@attribute sum_ratio_of_positive_adverbs_and_bigrams_with_adverbs numeric
@attribute sum_ratio_of_negative_adverbs_and_bigrams_with_adverbs numeric
@attribute positive_unigrams_and_bigrams_sum numeric
@attribute negative_unigrams_and_bigrams_sum numeric
@attribute sum_ratio_of_positive_unigrams_and_bigrams numeric
@attribute sum_ratio_of_negative_unigrams_and_bigrams numeric
@attribute positive_to_negative_ratio_of_unigrams_and_bigrams_sum numeric
@attribute positive_unigrams_bigrams_and_trigrams_sum numeric
@attribute negative_unigrams_bigrams_and_trigrams_sum numeric
@attribute sum_ratio_of_positive_unigrams_bigrams_and_trigrams numeric
@attribute sum_ratio_of_negative_unigrams_bigrams_and_trigrams numeric
@attribute positive_to_negative_ratio_of_unigrams_bigrams_and_trigrams_sum numeric
@attribute max_rule_for_adjective numeric
@attribute max_rule_for_adverbs_and_bigrams_with_adverbs numeric
@attribute max_rule_for_adjective_and_bigrams_with_adjectives numeric
@attribute max_rule_for_unigrams_and_bigrams numeric
@attribute max_rule_for_unigrams_bigrams_and_trigrams numeric
@attribute polarity {positive,negative}

@data
9,8,1,0,0,0,10,8,2,0,18,221,10,8,0,2,10,8,2,3.00777,-3.255165,-0.247395,0,0.01361,0,-0.014729,0,0,0,3.37243,-3.255165,0.117265,0,0.01526,-0.014729,0,0,3.37243,-3.255165,0.01526,-0.014729,0.117265,3.37243,-3.255165,0.01526,-0.014729,6.627595,0,-1,0,0,0,positive
15,1,14,1,1,0,16,1,15,1,18,281,17,1,0,16,17,1,16,4.13818,-0.16512,3.97306,0.35327,0.014727,0.001257,-0.000588,0,0.35327,0,5.0482,-0.16512,4.88308,0.35327,0.017965,-0.000588,0.001257,0,5.40147,-0.16512,0.019222,-0.000588,5.23635,5.40147,-0.16512,0.019222,-0.000588,5.56659,1,1,1,1,1,positive
23,8,15,1,3,2,29,12,17,1,46,493,32,14,0.004057,18,32,14,18,6.074526,-2.617755,3.456771,-0.1154,0.012322,0.001154,-0.00531,-0.001388,0.56905,-0.68445,7.406111,-4.310252,3.095859,-0.1154,0.015023,-0.008743,0.001154,-0.001388,7.975161,-4.994702,0.016177,-0.010131,2.980459,7.975161,-4.994702,0.016177,-0.010131,12.969863,0,0,0,0,0,positive
22,5,17,-1,0,2,24,5,19,-2,31,289,24,7,0.00346,17,24,7,17,6.0292,-1.90929,4.11991,-0.415125,0.020862,0,-0.006607,-0.001436,0,-0.524335,7.50193,-1.90929,5.59264,-0.524335,0.025958,-0.006607,0,-0.001814,7.50193,-2.433625,0.025958,-0.008421,5.068305,7.50193,-2.433625,0.025958,-0.008421,9.935555,0,0,0,0,0,positive
12,3,9,1,1,0,15,3,12,1,19,165,16,3,0.006061,13,16,3,13,4.496577,-0.52878,3.967797,0.12208,0.027252,0.00074,-0.003205,0,0.12208,0,5.055,-0.52878,4.52622,0.12208,0.030636,-0.003205,0.00074,0,5.17708,-0.52878,0.031376,-0.003205,4.6483,5.17708,-0.52878,0.031376,-0.003205,5.70586,1,1,1,1,1,positive
34,18,16,-2,3,4,41,29,12,-1,77,739,44,33,0.013532,11,44,33,11,7.573208,-6.272798,1.300411,-0.38439,0.010248,0.000164,-0.008488,-0.000684,0.544715,-0.505245,9.734691,-9.366612,0.368079,0.03947,0.013173,-0.012675,0.000737,-0.000684,10.279406,-9.871857,0.01391,-0.013358,0.407549,10.279406,-9.871857,0.01391,-0.013358,20.151263,0,1,0,0,0,negative
8,4,4,0,1,0,9,7,2,1,17,173,10,7,0,3,10,7,3,2.9223,-0.32643,2.59587,0,0.016892,0,-0.001887,0,0.35327,0,3.14481,-1.942935,1.201875,0.35327,0.018178,-0.011231,0.002042,0,3.49808,-1.942935,0.02022,-0.011231,1.555145,3.49808,-1.942935,0.02022,-0.011231,5.441015,1,1,0,0,0,positive
9,7,2,0,1,1,11,10,1,0,23,304,12,11,0,1,12,11,1,3.52544,-3.63177,-0.10633,-0.128855,0.011597,0.000942,-0.011947,-0.001366,0.28627,-0.415125,4.574828,-5.293275,-0.718448,-0.128855,0.015049,-0.017412,0.000942,-0.001366,4.861098,-5.7084,0.01599,-0.018778,-0.847303,4.861098,-5.7084,0.01599,-0.018778,10.569498,0,0,0,0,0,positive
13,7,6,1,1,0,14,8,6,1,23,259,15,8,0.003861,7,15,8,7,4.644846,-2.332215,2.312631,0.39079,0.017934,0.001509,-0.009005,0,0.39079,0,4.70036,-2.427145,2.273215,0.39079,0.018148,-0.009371,0.001509,0,5.09115,-2.427145,0.019657,-0.009371,2.664005,5.09115,-2.427145,0.019657,-0.009371,7.518295,0,1,0,0,0,positive
51,21,30,2,4,3,60,30,30,1,97,1160,64,33,0.006897,31,64,33,31,15.765512,-6.18234,9.583172,0.089485,0.013591,0.000807,-0.00533,-0.00073,0.93586,-1.2968,18.740014,-9.182894,9.55712,-0.36094,0.016155,-0.007916,0.000807,-0.001118,19.675874,-10.479694,0.016962,-0.009034,9.19618,19.675874,-10.479694,0.016962,-0.009034,30.155568,0,1,0,0,0,positive
